Str,PlotID,Lng,Lat,KMSq,nCol,nNest,nAct
Co,cc.1j,-69.62442925612125,44.05297247288244,2.154724719813347,0,0,0
SC,cd.1j,-69.55128335860437,44.09984483278264,42.191653397939206,0,0,0
Co,cd.1j,-69.5318227966257,44.05943524515591,57.80834660204223,2,40,14
SC,ce.1j,-69.46243568274085,44.1071260878813,6.56963620879e-4,0,0,0
Co,ce.1j,-69.4196255802314,44.0517804652964,99.99934303639809,0,0,0
Co,cf.1j,-69.29930858072201,44.02696901372291,99.99999999998093,0,0,0
Co,cg.1j,-69.1790791585903,44.00204935758699,99.9999999999466,2,0,0
Co,ch.1j,-69.06311309145966,43.98644118551151,78.11098234557127,2,100,100
Co,ci.1j,-68.9423222807235,43.983884275699715,27.706900379717112,0,0,0
Co,cj.1j,-68.84701541709518,43.97661107592444,1.644553647259351,0,0,0
ND,c0.1i,-71.01070790689712,44.49790239954085,1.538448701172829,0,0,0
ND,c1.1i,-70.95434071577868,44.45225037736196,93.17477176229477,0,0,0
ND,c2.1i,-70.83726784507265,44.427683206010784,100.00000000001907,0,0,0
ND,c3.1i,-70.71577562208712,44.404141154626316,100.0000000000534,0,0,0
ND,c4.1i,-70.5943679938083,44.380489615207125,100.00000000001907,0,0,0
ND,c5.1i,-70.47304526779128,44.35672871446639,99.99999999998093,0,0,0
ND,c6.1i,-70.35180775005402,44.332858579402256,100.00000000005723,0,0,0
ND,c7.1i,-70.2751104906056,44.31999933101872,24.10584553255004,0,0,0
SC,c7.1i,-70.2165388778781,44.305344302366784,75.89415446746993,0,0,0
SC,c8.1i,-70.10958955579342,44.28479111569792,99.99999999998093,4,70,70
SC,c9.1i,-69.98860948360245,44.260594042443024,100.00000000001907,4,0,0
SC,ca.1i,-69.86771582835196,44.23628824562723,100.00000000005723,0,0,0
SC,cb.1i,-69.74690888834449,44.2118738536133,100.00000000001907,0,0,0
SC,cc.1i,-69.62618896033376,44.187350995024666,99.99999999998093,2,0,0
SC,cd.1i,-69.50555633952283,44.16271979874131,100.00000000001907,4,22,18
SC,ce.1i,-69.40771943943814,44.15426090247912,46.28653158997333,0,0,0
Co,ce.1i,-69.36545176444727,44.12394829521937,53.71346841007314,0,0,0
Co,cf.1i,-69.2645541925497,44.11313290987001,100.00000000001907,0,0,0
Co,cg.1i,-69.144185249026,44.08817747628916,99.99999999998093,0,0,0
Co,ch.1i,-69.02390477797577,44.0631142230199,100.00000000001907,0,0,0
Co,ci.1i,-68.90371306682499,44.03794328016497,100.00000000005723,0,0,0
Co,cj.1i,-68.78478322289926,44.015064146499824,95.0252267659785,0,0,0
Co,ck.1i,-68.66537784885578,44.0061987944522,56.66050971472895,0,0,0
Co,cl.1i,-68.57190627638757,44.00490022195238,6.819899258601666,0,0,0
ND,c0.1h,-71.0017419099267,44.56131580654348,26.5800050169301,0,0,0
ND,c1.1h,-70.92599307231622,44.537776540071576,99.99999999994277,0,0,0
ND,c2.1h,-70.80427225165428,44.514309753059415,99.99999999998093,0,0,0
ND,c3.1h,-70.68263603282128,44.49073323331947,100.00000000001907,0,0,0
ND,c4.1h,-70.5610847257643,44.467047107990325,99.99999999998093,0,0,0
ND,c5.1h,-70.43961863888666,44.443251504500545,99.9999999999466,0,0,0
ND,c6.1h,-70.32010141687105,44.41879680923622,97.3177828902502,0,0,0
SC,c6.1h,-70.25061090802546,44.439275400611315,2.682217109766007,0,0,0
ND,c7.1h,-70.26067060996786,44.379511439173314,5.194272566353321,0,0,0
SC,c7.1h,-70.1934509650445,44.39619831544127,94.80572743362903,0,0,0
SC,c8.1h,-70.07573476015801,44.37120910361298,99.99999999994277,2,0,0
SC,c9.1h,-69.95461260707718,44.34697686741782,99.99999999998093,2,100,100
SC,ca.1h,-69.83357719295945,44.322635794407745,100.00000000001907,2,4,2
SC,cb.1h,-69.71262881690119,44.298186013664015,99.99999999998093,4,38,28
SC,cc.1h,-69.59176777644095,44.27362765452887,99.99999999994277,6,16,16
SC,cd.1h,-69.47099436755758,44.2489608466016,99.99999999998093,0,0,0
SC,ce.1h,-69.3529603628911,44.2267864893567,93.67268103716994,0,0,0
Co,ce.1h,-69.31107887082581,44.185678092017426,6.327318962849379,0,0,0
SC,cf.1h,-69.27011108030938,44.23888036388643,5.088170281065583,0,0,0
Co,cf.1h,-69.22754715758707,44.19718039462215,94.91182971891284,0,0,0
Co,cg.1h,-69.10920286672845,44.174311029830605,99.9999999999466,2,0,0
Co,ch.1h,-68.98878291269153,44.1492117277267,99.99999999998093,0,0,0
Co,ci.1h,-68.86845204667478,44.12400462854065,100.00000000001907,0,0,0
Co,cj.1h,-68.7482105552661,44.09868986332892,99.99999999998093,2,0,0
Co,ck.1h,-68.62805872348325,44.07326756337642,99.99999999994277,0,0,0
Co,cl.1h,-68.5118874751911,44.053683951928846,86.24798235207892,0,0,0
Co,cm.1h,-68.41370962397565,44.057467754077194,15.50819585862589,0,0,0
ND,c0.1g,-70.98953746953556,44.64660073459644,59.244913773617604,0,0,0
ND,c1.1g,-70.89305750036061,44.624445522305926,99.99999999998093,0,0,0
ND,c2.1g,-70.77119205615003,44.60094422594992,100.00000000001907,2,8,8
ND,c3.1g,-70.64941153152208,44.57733307821426,100.0000000000534,0,0,0
ND,c4.1g,-70.52771623728337,44.55361220695739,100.00000000001907,0,0,0
ND,c5.1g,-70.40610648268758,44.52978174032806,99.99999999998093,0,0,0
ND,c6.1g,-70.29798897392011,44.50714093663523,78.51072339283228,0,0,0
SC,c6.1g,-70.23560689800563,44.50108404130151,21.48927660722327,0,0,0
SC,c7.1g,-70.16314482166081,44.48179253497419,100.00000000001907,2,0,0
SC,c8.1g,-70.04179352595281,44.45763405396194,99.99999999998093,2,0,0
SC,c9.1g,-69.92052899132945,44.43336649299378,100.00000000001907,0,0,0
SC,ca.1g,-69.79935151924781,44.408989981608336,100.00000000005723,6,46,36
SC,cb.1g,-69.67826140959995,44.38450464961016,100.00000000001907,2,0,0
SC,cc.1g,-69.55725896071104,44.3599106270652,99.99999999998093,0,0,0
SC,cd.1g,-69.43634446933737,44.335208044296884,100.00000000001907,0,0,0
SC,ce.1g,-69.31551823066492,44.31039703188188,100.0000000000534,2,2,2
SC,cf.1g,-69.23040883365526,44.29814538243978,36.19703325510263,0,0,0
