Year,FWSColonyID,Str,PlotID,Lng,Lat,nNest,nActive
2015,ME.0762,Co,cp.1b,-67.8242868422,44.4434178742,0,0
2015,ME.0763,SC,ch.16,-68.6326326142,45.0906506981,12,11
2015,ME.0765,Co,ch.1d,-68.8713937302,44.5187254903,11,11
2015,ME.0770,ND,ck.19,-68.2984538975,44.7989213492,12,7
2015,ME.0771,SC,c6.1u,-70.7484132131,43.336837639,15,8
2015,ME.0772,ND,c2.1j,-70.8186453014,44.3169117171,3,1
2015,ME.0773,SC,ci.19,-68.5806326299,44.8450760208,6,1
2015,ME.0774,Co,cb.1o,-69.9367970685,43.7266009089,15,15
2015,ME.0775,SC,cd.19,-69.2031908224,44.9427679564,5,5
2015,ME.0776,SC,cd.19,-69.2069070057,44.9230784509,2,2
2015,ME.0780,SC,cf.1a,-68.9777857359,44.793104144,21,19
2015,ME.0783,SC,cf.1e,-69.0850027067,44.4883556939,2,1
2015,ME.0784,SC,cc.1j,-69.6932124199,44.1107996977,1,0
2015,ME.0785,SC,cf.18,-68.9531527115,44.9744428506,33,32
2015,ME.0786,ND,c5.1f,-70.3992898529,44.5853581862,15,5
2015,ME.0791,SC,ce.1a,-69.0692897784,44.8262676722,7,6
2015,ME.0792,SC,ce.1g,-69.3212780047,44.3570509069,1,1
2015,ME.0796,Co,cc.1k,-69.6395543066,44.0137077883,29,21
2015,ME.0799,SC,cd.1i,-69.5120177894,44.1653311683,9,9
2015,ME.0800,Co,cc.1k,-69.6694685449,43.9934031493,10,0
2015,ME.0801,ND,ca.19,-69.611742148,44.9819530269,16,16
2015,ME.0803,SC,cd.19,-69.2145072046,44.93775743,4,4
2015,ME.0804,SC,cc.1h,-69.6317942522,44.3054984647,4,4
2015,ME.0805,SC,c8.1c,-69.9124767281,44.8293539563,15,14
2015,ME.0806,SC,c2.1k,-70.8782613076,44.204064268,21,21
2015,ME.0807,Co,cc.1l,-69.6711095667,43.9512049575,5,0
2015,ME.0808,SC,c5.1t,-70.813923921,43.4051105631,1,1
