Year,Obs_PK,PlotDetails_FK,Lng,Lat,AOU,CapHist,Location,FWSColonyID,fNest,rNest,fAct,rAct,Comment
2023,231,152,,,GBHE,x10,Wetland,ME.0773,1,1,0,0,There are 2 nests here - we each saw a different nest and realized it after that there were 2 total.
2023,269,177,,,GBHE,,Upland,ME.0774,1,1,1,1,
2023,270,177,,,BAEA,,Upland,ME.0774,1,1,1,1,
2023,271,177,,,OSPR,,Upland,ME.0774,2,2,2,2,
2023,260,164,,,,,Wetland,ME.0775,0,0,0,0,
2023,259,164,,,GBHE,x11,Wetland,ME.0776,2,2,2,2,
2023,295,178,,,GBHE,,Wetland,ME.0778,1,1,0,0,1 inactive heron nest + 1 active osprey nest
2023,296,178,,,OSPR,,Wetland,ME.0778,1,1,1,1,1 inactive heron nest + 1 active osprey nest
2023,176,125,,,GBHE,x11,Wetland,ME.0780,22,14,22,14,Difficult to count.
2023,326,194,,,,,Wetland,ME.0783,0,0,0,0,
2023,210,145,,,OSPR,x11,Wetland,ME.0785,1,1,1,1,Active osprey nest at colony 785.
2023,211,145,,,,,Wetland,ME.0785,0,0,0,0,
2023,321,192,,,,,Wetland,ME.0787,0,0,0,0,
2023,362,217,,,,,Wetland,ME.0788,0,0,0,0,
2023,368,225,,,,,Wetland,ME.0792,0,0,0,0,
2023,285,172,,,GBHE,,Other,ME.0796,15,14,14,14,HERONS NESTING ON RR TRESTLE; 1 ACTIVE OSPR; NO HERONS ON NEIGHBORING PINES.
2023,286,172,,,OSPR,,Other,ME.0796,1,1,1,1,1 ACTIVE OSPR NEST ON RR TRESTLE.
2023,206,145,,,,,Wetland,ME.0798,0,0,0,0,DRY
2023,284,172,,,,,Upland,ME.0800,0,0,0,0,
2023,353,207,,,,,Wetland,ME.0801,1,1,0,0,unknown if ospr or gbhe
2023,335,199,,,,,Upland,ME.0802,0,0,0,0,
2023,261,164,,,,,Wetland,ME.0803,0,0,0,0,
2023,291,175,,,,,Wetland,ME.0804,0,0,0,0,
2023,361,215,,,GBHE,,Wetland,ME.0805,22,19,22,19,
2023,239,153,,,,,Wetland,ME.0806,0,0,0,0,
2023,280,171,,,OSPR,,Upland,ME.0807,1,1,1,1,
2023,281,171,,,,,Upland,ME.0807,0,0,0,0,"NO HERONS, JUST 1 ACTIVE OSPR"
2023,164,123,,,GBHE,x11,Wetland,ME.0810,2,2,1,2,
2023,170,122,,,,,Wetland,ME.0811,0,0,0,0,
2023,330,196,,,,,Wetland,ME.0812,0,0,0,0,
2023,289,175,,,,,Wetland,ME.0816,0,0,0,0,
2023,195,137,,,,,Wetland,ME.0820,0,0,0,0,
2023,207,144,,,OSPR,x11,Wetland,ME.0822,1,1,1,1,Active osprey nest at colony 822.
2023,208,144,,,,,Wetland,ME.0822,0,0,0,0,
2023,325,194,,,,,Wetland,ME.0824,0,0,0,0,
2023,358,213,,,GBHE,,Upland,ME.0825,5,5,0,0,
2023,165,123,,,,,Wetland,ME.0826,0,0,0,0,"Checked snags in flowage to SE of 826, too."
2023,166,122,,,GBHE,,Wetland,ME.0827,3,3,3,3,3 single nests in snags in middle of deeper water
2023,168,123,,,,,Wetland,ME.0828,0,0,0,0,
2023,193,137,,,GBHE,x11,Wetland,ME.0830,38,28,38,28,
2023,171,122,,,,,Upland,ME.0831,0,0,0,0,Made sure to check live trees and snags; no sign of herons or nests.
2023,300,179,,,,,Wetland,ME.0833,0,0,0,0,very dry
2023,297,178,,,GBHE,,Wetland,ME.0835,7,5,7,5,active heron colony with 1 active osprey nest
2023,298,178,,,OSPR,,Wetland,ME.0835,1,1,1,1,active heron colony with 1 active osprey nest
2023,315,187,,,GBHE,,Wetland,ME.0835,7,7,7,7,
2023,316,187,,,OSPR,,Wetland,ME.0835,1,1,1,1,
2023,370,232,,,,,Upland,ME.0837,0,0,0,0,
2023,277,170,,,,,Upland,ME.0839,0,0,0,0,
2023,317,190,,,GBHE,x00,Wetland,ME.0844,5,4,4,2,"Missed during search, but both saw nests once we got to site."
