FWSNestID,Svy,LstStr,PlotID,Lng,Lat,LastYr,Status,Occ,nNest,nActive,Comment
ME.0130,GBHE,SC,cg.17,-68.7844221672,45.0332529998,2009,notchecked,NotChecked,,,
ME.0616,GBHE,SC,cg.17,-68.7758519366,45.036747231,2009,notchecked,NotChecked,,,
ME.0819,GBHE,SC,ch.17,-68.6213017514,45.0448985749,2014,active,Active,5,5,Ground count 
ME.0843,GBHE,ND,cm.17,-68.0146916964,44.833703959,2014,active,Active,3,2,Aerial count 
ME.0668,GBHE,Co,cr.17,-67.4075015574,44.7039467667,2014,active,Active,1,1, GDA: colony not observed added most recent status
ME.0139,GBHE,ND,c7.16,-69.8260261493,45.3525384344,2009,notchecked,NotChecked,,,
ME.0675,GBHE,ND,cf.16,-68.8862780643,45.1665175575,2014,active,Active,3,3, GDA: colony not observed added most recent status
ME.0746,GBHE,ND,cf.16,-68.8590725488,45.1532018472,2014,inactive,InActive,10,0,Ground count 
ME.0134,GBHE,SC,cg.16,-68.7098421282,45.1377190797,2009,notchecked,NotChecked,,,
ME.0723,GBHE,SC,cg.16,-68.7083797347,45.142502425000004,2014,inactive,InActive,0,0,Ground count 
ME.0740,GBHE,SC,ch.16,-68.5581016254,45.0843413245,2014,inactive,InActive,0,0,Ground count 
ME.0763,GBHE,SC,ch.16,-68.6326326142,45.0906506981,2014,active,Active,12,11,Ground count 
ME.0672,GBHE,ND,c1.15,-70.4905267697,45.5278641626,2014,inactive,InActive,2,0,Ground count 
ME.0722,GBHE,ND,c4.15,-70.1973052539,45.4690071644,2014,active,Active,2,1,Ground count 
ME.0626,GBHE,ND,ce.15,-68.8959702842,45.2108872668,2009,notchecked,NotChecked,,,
ME.0727,GBHE,SC,cg.15,-68.6978702559,45.1993036484,2014,inactive,InActive,0,0,Ground count 
ME.0741,GBHE,SC,ch.15,-68.5922653019,45.2061863662,2014,inactive,InActive,0,0,Ground count 
ME.0182,GBHE,ND,cd.11,-68.8999834295,45.6298005808,2009,notchecked,NotChecked,,,
ME.0753,GBHE,ND,cd.11,-68.8785596919,45.5947850948,2013,notchecked,NotChecked,,,
ME.0183,GBHE,ND,cg.11,-68.4955079562,45.5363080497,2009,notchecked,NotChecked,,,
ME.0627,GBHE,ND,c8.0v,-69.2813441939,46.2621924108,2009,notchecked,NotChecked,,,
ME.0823,GBHE,ND,ch.0q,-68.0528130178,46.5048764218,2014,active,Active,3,2,Ground count 
ME.0510,GBHE,ND,ch.0p,-67.9893601253,46.5413660981,2014,inactive,InActive,,,Ground count Adults eggs nestlings not observed or recorded.
ME.0712,GBHE,ND,ci.0n,-67.7898229382,46.6677955425,2014,active,Active,3,1, GDA: colony not observed added most recent status
ME.0730,GBHE,ND,ci.0n,-67.8026214503,46.6812974952,2010,notchecked,NotChecked,,,
