Obs_PK,PlotDetails_FK,WaypointID,NewColony?,WBC_ID,Strata,Time,CaptHist,FObsTot,FObsAct,RObsTot,RObsAct,Species,Habitat,Comments,Latitude,Longitude
298,178,,FALSE,835,SC,,,1,1,1,1,OSPR,Wetland,active heron colony with 1 active osprey nest,,
299,178,,FALSE,758,SC,,,0,0,0,0,,Wetland,,,
300,179,,FALSE,833,Co,,,0,0,0,0,,Wetland,very dry,,
301,179,,FALSE,669,Co,,,0,0,0,0,,Wetland,very dry,,
302,180,,FALSE,16,Co,,,1,1,1,1,OSPR,Upland,1 active osprey nest; there may have been remnant nests as well - difficult to see.,,
303,180,,FALSE,16,Co,,,0,0,0,0,,Upland,1 active osprey nest; there may have been remnant nests as well - difficult to see.,,
304,180,,FALSE,701,Co,,,0,0,0,0,,Wetland,,,
305,178,,FALSE,662,Co,,,0,0,0,0,,Upland,,,
306,178,,FALSE,662,Co,,,1,1,1,1,BAEA,Upland,active eagl nest but no herons.,,
307,181,,FALSE,664,Co,,,0,0,0,0,,Upland,,,
308,181,,FALSE,707,Co,,,0,0,0,0,,Wetland,,,
309,182,,FALSE,851,Co,,x11,7,7,7,7,GBHE,Wetland,one inactive osprey nest,,
310,182,,FALSE,851,Co,,x11,1,0,1,0,OSPR,Wetland,one inactive osprey nest,,
311,184,,FALSE,615,Co,,,0,0,0,0,,Wetland,,,
312,184,,FALSE,901,Co,,,30,30,25,25,GBHE,Wetland,Could even be more like 35-40 active nests - very busy site difficult to count.,,
313,184,,FALSE,901,Co,,,1,1,1,1,OSPR,Wetland,,,
314,185,,FALSE,747,SC,,,2,1,2,1,GBHE,Wetland,,,
315,187,,FALSE,835,SC,,,7,7,7,7,GBHE,Wetland,,,
316,187,,FALSE,835,SC,,,1,1,1,1,OSPR,Wetland,,,
317,190,,FALSE,844,SC,,x00,5,4,4,2,GBHE,Wetland,"Missed during search, but both saw nests once we got to site.",,
318,190,,FALSE,115,SC,,x00,0,0,0,0,,Wetland,,,
319,191,,FALSE,648,SC,,,0,0,0,0,,Wetland,,,
320,191,,FALSE,648,SC,,,1,1,1,1,OSPR,Wetland,,,
321,192,,FALSE,787,SC,,,0,0,0,0,,Wetland,,,
322,192,,FALSE,681,SC,,,5,4,4,4,GBHE,Wetland,,,
323,193,,FALSE,690,SC,,,0,0,0,0,,Wetland,,,
324,194,,FALSE,688,SC,,,0,0,0,0,,Wetland,,,
325,194,,FALSE,824,SC,,,0,0,0,0,,Wetland,,,
326,194,,FALSE,783,SC,,,0,0,0,0,,Wetland,,,
327,195,,FALSE,657,SC,,,0,0,0,0,,Wetland,,,
328,195,,FALSE,736,SC,,,0,0,0,0,,Wetland,,,
329,196,,FALSE,694,SC,,,0,0,0,0,,Wetland,,,
330,196,,FALSE,812,SC,,,0,0,0,0,,Wetland,,,
331,196,,FALSE,866,Co,,,0,0,0,0,,Wetland,,,
332,197,,FALSE,179,Co,,,0,0,0,0,,Wetland,1 active OSPR  plus 1 active OSPR to northwest,,
333,197,,FALSE,179,Co,,,1,1,1,1,OSPR,Wetland,,,
334,198,,FALSE,34,Co,,,0,0,0,0,,Upland,1 inactive OSPRE or BAEA nest on east side of island.,,
335,199,,FALSE,802,Co,,,0,0,0,0,,Upland,,,
336,200,,FALSE,886,Co,,,0,0,0,0,,Upland,,,
337,200,,FALSE,13,Co,,,0,0,0,0,,Upland,,,
338,200,,FALSE,608,Co,,,0,0,3,0,,Upland,1 inactive eagle nest but eagle also perched nearby. 3 other unknown empty nests on island.,,
339,201,,FALSE,14,Co,,,0,0,0,0,,Upland,,,
340,201,,FALSE,14,Co,,,1,1,1,1,BAEA,Upland,1 active BAEA nest in middle of island.,,
341,202,,FALSE,878,Co,,,0,0,0,0,,Upland,Near L. Garden Island: island with 1 eagle nest; 1 inactive nest.,,
342,203,,FALSE,8,Co,,,1,0,1,0,,Upland,only 1 obvious nest,,
343,202,,FALSE,895,Co,,,11,10,12,10,GBHE,Upland,,,
344,204,,FALSE,44,Co,,,0,0,0,0,,Upland,,,
345,204,,FALSE,7,Co,,,0,0,0,0,,Upland,,,
346,205,,FALSE,906,Co,,,0,0,0,0,,Wetland,,,
347,206,,FALSE,666,ND,,,0,0,0,0,,Wetland,,,
348,206,,FALSE,639,ND,,,0,0,0,0,,Upland,,,
349,207,,TRUE,921,ND,,x11,3,3,4,4,GBHE,Wetland,New site to southwest of 882. 1 active OSPR also seen.,45.10579,-69.325137
350,208,,FALSE,882,ND,,,0,0,0,0,,Wetland,,,
351,209,,FALSE,706,ND,,,0,0,0,0,,Wetland,,,
352,210,,FALSE,846,ND,,,2,0,1,0,GBHE,Wetland,2 nests in same tree,,
353,207,,FALSE,801,ND,,,1,0,1,0,,Wetland,unknown if ospr or gbhe,,
354,210,,FALSE,133,ND,,,0,0,0,0,,Wetland,,,
355,211,,FALSE,872,ND,,,1,0,1,0,,Wetland,Nest on finger that went to northeast.,,
356,213,,FALSE,119,SC,,,0,0,0,0,,Wetland,,,
357,213,,FALSE,619,SC,,,0,0,0,0,,Wetland,,,
358,213,,FALSE,825,SC,,,5,0,5,0,GBHE,Upland,,,
359,214,,FALSE,745,SC,,,0,0,0,0,,Wetland,,,
360,215,,FALSE,658,SC,,,0,0,0,0,,Wetland,,,
